1;SuperChange;;0;34413
10;My-Xchange;878525859540;1026;42496
29;N-Change;;0;4302630
48;Exwp;800811812711;1773;117800
51;ExchangeX;687408836403;1924;505797
52;NetExchange;;0;437212
56;M-Obmen;963130820766;3203;467579
67;СуперОбменка;249714880659;4655;174002
443;ОбменОМ;;0;235385
79;E-Obmen;;0;798975
80;Vmex;060994506852;1639;271542
83;Обменник.ws;249714880659;4655;22784
90;Ex-Money;;0;195575555
107;WM-Sha;881627402476;1746;3065
120;MagneticExchange;;0;29411
128;XMLGold;;0;1224971
142;WmPayCash;256939015533;2231;441394
152;Vilcov;;0;122647
154;eCashMe;878525859540;1026;70808
155;Z-Obmen;;0;38434
157;WmBox;329025066047;2183;61844
161;Обменник.ua;963130820766;3203;446505
170;XMoney;;0;480617
177;Alfacash;;0;3344318
184;Xchange;;0;50142433
197;WMSell;;0;6547
201;NixExchange;;0;757144
218;A-Exchange;;0;82520
223;МультиВал;;0;124990
227;MoneyChange;;0;56036
238;E-Money;;0;1374561
239;E-Scrooge;;0;45372886
643;Bchange;;0;761066
252;VIPchanger;397640011232;2249;1679992
730;WmMoney;445709135419;1402;29358
255;BazarMoney;250647852481;1110;9899
257;PM2WM;;0;100000
259;BTC2Cashin;;0;113817
268;Rapid-Obmen;;0;3395879
269;Paspar;;0;16449
271;GoldObmen;;0;11726
273;ArmChange;;0;182627
274;MultiChange;;0;137781095
277;BTC2WM;;0;100000
279;MChange;;0;601849299
281;Trust-Exchange;;0;17752406
291;Ukr-Obmen;;0;3656160
297;Меняйко;192211650456;1611;21892
306;Спасибо;632584157120;1717;25518
311;Cryptex24;;0;549587
324;Qipri;;0;815043
326;Матби;;0;393007
327;24Обмен;;0;18688
329;TytCoin;;0;167186
337;1WM;;0;85620
341;WMStream;185657319746;1241;15778190
346;UltraChange;;0;29258226
362;D-Obmen;;0;561357
364;N-Obmen;;0;10451
370;Obmenneg;426424364533;0;15995
372;HotExchange;;0;12347359
374;Echange;401537073488;1097;21202
377;ExBox;;0;67412165
381;ObmenAT;297157965491;2464;426680
385;ChangeMoney24;;0;104136365
386;Exch-em;;0;49682
387;365Cash;;0;356599
395;InternetMoney;;0;10888176
397;AllCash;;0;15102504
399;CleanBTC;491088628726;0;1404974
405;OpenChange;;0;53628182
409;5Минут;157677488095;361;15939
411;BTCBank;;0;193358
412;WW-Pay;;0;1479618
417;24PayBank;;0;24230816
421;Receive-Money;;0;6334936
430;CoinTransfer;;0;36613404
433;Smart-Pays;;0;343199
436;RealExchange;271040623560;1212;3138298
921;Сатоши;;0;3894029
437;RuChange;;0;41301
438;WestChange;;0;1370787
439;Makoli;;0;16984
441;PMCash;;0;9659
445;24Online;;0;378099
447;SpbWMCasher;049282223299;0;46258884
456;SafePay;196907527892;1396;89392
455;FehuPay;;0;221464
830;EliteObmen;;0;2294084
460;Lionex;;0;67611
466;BtcChange24;;0;537217
464;MegaChange;380536951311;1363;41802
467;GoodObmen;;0;2794
468;Magnatus;;0;765172
469;MasterChange;238890286272;2120;44638469
471;ChBy;;0;38326520
472;Changer4u;;0;992744
473;ImExchanger;;0;65756542
474;SuperChangeNet;;0;595523
475;ObmenPP;;0;417539
489;ZB;;0;0
488;FastChange;;0;21008532
490;O-Paxum;;0;77413
498;Kraken;;0;0
499;Huobi;;0;0
502;OkCoin;;0;0
500;BitStamp;;0;0
504;OKEx;;0;0
497;Cexio;;0;0
496;Bitfinex;;0;0
492;Poloniex;;0;0
797;Excoin;;0;51180245
501;Currency;;0;0
503;HitBTC;;0;0
505;CryptoMate;;0;0
508;Gemini;;0;0
507;Bitkonan;;0;0
510;Binance;;0;0
509;TheRockTrading;;0;0
511;Bittrex;;0;0
512;CoinBase;;0;0
513;BitBay;;0;0
515;YoBit;;0;0
517;BaksMan;;0;313495900
521;Шахта;;0;25584563
522;Касса;;0;303572
519;BitExchanger;;0;70915046
526;FastExchange;;0;523963
528;WmExpress;;0;84560
532;QuickChange;;0;3644545
536;WuBill;;0;10777621
535;BitPayes;;0;50109
537;100BtcKiev;;0;1576293
539;NewLine;;0;306756552
544;Банкомат;;0;172650581
540;CryptoPay24;;0;21620973
743;Treddr;894221020033;26;729835
546;NetEx24;;0;1165935
548;ObmenTop;191116885147;803;6862
550;PayBis;;0;17995195
551;RocketChange;697747012700;2037;4537391
556;ObmennCom;;0;31024
558;1Exchanger;;0;65024
559;MinedTrade;;0;4759242
561;BetaTransfer;;0;142855
562;Z-Exchange;;0;15997
565;Transfer24;;0;20635347
567;Coin-Bank;;0;29817
573;Биткоин24;;0;66777
576;ObmenEW;;0;27169
580;4ange;;0;33196851
581;8Pay;437302142553;1185;1418663
584;F-Change;;0;47755289
585;ObmenoFF;;0;478626
586;КэшБанк;;0;27793812
589;ObmenTech;421609434468;1558;0
588;7Money;;0;538796
590;ExMoney;;0;26155
599;iChanger;360880458968;1095;109546
603;RuBitok;;0;0
608;GeeExchange;;0;23840492
606;CryptoMoney;;0;0
607;60сек;;0;370021055
609;ObmenMoney;279259009479;825;291918
611;ChangerClub;;0;518242
612;Changelly;;0;4390856
614;El-Change;;0;877530
615;Pocket-Exchange;;0;39593
619;LeoExchanger;;0;198345
620;4Exchange;;0;41462
621;Pay-Today;;0;12004603
618;24BestEx;;0;21628397
624;VV-Obmen;;0;49498
622;ProstoCash;;0;892736391
625;PayGet;;0;20195454
629;MonEx;189133223119;2888;628380
626;Best-Obmen;;0;54140552
640;BTC2Pay;;0;993570
664;BitHunter;;0;60450
645;BtcBit;;0;7279112
681;CryptoHome;;0;1837459
635;Staff-Obmen;;0;5472
633;YChanger;;0;345529135
736;Обменник-UZ;;0;11708
634;BestCoin;;0;1986318
668;MyCryptoMarket;;0;800362
650;Real-Bit;;0;4725436
638;Bitcoin24SU;;0;430238
642;BuyBit;;0;26522
666;1Обмен;;0;47646512
655;BitStore;;0;2382021
709;Nexchange;;0;0
659;1-Online;;0;146428909
665;Perfect-Change;;0;31171
670;FastEx;;0;618887
652;LasloBit;;0;346552
731;BigBank;;0;549544
651;Монетка;702499140547;877;33672
657;Easy-Changer;;0;354403
661;Ферма;;0;39228126
677;Bitcoin24Exchange;;0;1698295
654;Ru-Bas;;0;37340
738;HASchange;;0;1846179
702;Papa-Change;;0;9153553
660;FlyChange;290933993890;3028;4662310
693;CryptoBroker;;0;21136692
714;Top-Exchange;;0;286774
715;Coins-Trade;;0;318154
676;Иеремия76;;0;71833
658;BtcTenge;;0;27680663
762;TetChange;;0;1380591
686;1Mile;;0;28209628
695;BTC-Обменник;;0;2383776
706;HoBit;;0;7081313
705;Cryptonex;;0;40368
713;CashOut;;0;623305
687;WikiPays;;0;199586
701;WMCash;236702904683;1463;199518
690;Fair-Exchange;413428403759;43;19811
685;BitCash;;0;428629
684;100Bitcoins;;0;58209507
723;BitObmen;;0;56435
718;Platov;;0;15946851
704;Change-X;;0;17906248
692;C1kWorld;;0;36050315
688;ExchangeExpress;279259009479;825;15897
710;Bittrend;;0;34013890
712;Criptify;;0;116145
755;Big-Changer;;0;34382
703;Obmen4you;320026778932;1389;15185
716;Bitok777;;0;176490
782;Tec-Bit;;0;35586
750;CashAdmin;;0;0
763;PushPayer;753021635396;0;55887
758;CryptoBox;;0;11892418
741;BTCe-Obmen;;0;7737899
737;BonkyPay;232342940453;0;46815418
761;FlashObmen;;0;388256
754;ObmenIM;;0;96468
757;ChangeNow;;0;104442347
783;ОбменДенег;;0;17947
770;BTC24pro;;0;0
779;MoneyMix;;0;2693379
776;XbiTrade;;0;350666
785;PayMarket;;0;62640
775;AllWMCash;;0;1183728
804;PayBTC;;0;4426495
780;Bitcoin24Pro;;0;61762303
774;ОбменМонет;;0;9239762
764;NiceChange;;0;202720519
772;CoinPayMaster;;0;149157487
792;SberBit;;0;602735
799;Криптообменник;;0;603739
787;PrivatCash;;0;618372
801;Coin-Future;;0;198446
793;IceBTC;;0;18237249
798;Quickex;;0;49063831
808;ChangeCoins;;0;617339
814;BitBits;;0;100256
835;7Pay;709807738416;1442;483770
827;Crypster;;0;13063072
812;Ex-Bank;;0;2630425
823;Обменочка;;0;1528215
